fold,acc,f1_macro,auc_ovo,best_pk,best_sk,best_C,best_G,inner_f1
1,0.42927733168622606,0.4302912958099931,0.6208198678926421,128,5,10,0.01,0.4055904084445185
2,0.44496762801648027,0.43104062461303533,0.6247619651600649,64,7,1,0.1,0.4042106953750289
3,0.382123575284943,0.37063572305030923,0.5458780799010464,64,5,10,0.01,0.4203697307015692
4,0.3804154302670623,0.3670273410931733,0.5780966998698622,64,5,10,0.01,0.41763846675157146
5,0.477326968973747,0.4637897605303607,0.630578437817472,64,7,1,0.1,0.3774479539035943
